OBJECTID,NAME,WARD,aggregationMethod,HasData,ORIGINAL_OID,PCTMinority,RAWTotalPop,population_acsipov200,population_acsipovbas,PCTNonWorkingAge,PCTSenior,PCTChildren,PCTUnemployment,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,SHAPE_Length,SHAPE_Area
916,Broadway Pantano East,2,BlockApportionment:US.BlockGroups,1,442,41.66,5710,3016,5115,62.54,15.53,21.93,14.34,442,4.06965348267413,8.35425666406955,2.57539532441347,2217.135344571,1,15,6.64574333593045,38.113381403777,0.42912602080826,83.6445562986496,41.0361681329423,03 Low-Moderate Priority,79 - 89,0.9943656939844,5742.35418070404,21058.2875906051,27702812.3454275
917,Eastside,2,BlockApportionment:US.BlockGroups,1,21,34.08,4037,3570,4154,59.43,20.81,19.77,11.21,21,4.31003145753233,9.55756400998775,2.58476330172313,1561.84513967246,1.2,18,8.44243599001225,48.4174255007187,0.333487363087296,83.8534004422897,14.0587385652383,03 Low-Moderate Priority,79 - 89,0.997982690246364,4045.16034141175,21082.2800161484,27838693.4478712
918,Grant Road Industrial,3,BlockApportionment:US.BlockGroups,1,241,100,2,1,2,100,0,50,0,241,6.72405929304447,3.93986880683026,0.783001202035921,2.55427449510895,1.2,18,14.0601311931697,80.6349441536764,0.653580868627932,,50,,,0.302318454286427,6.61554057201263,13534.8831977599,8446771.3346915
919,Southland Park,5,BlockApportionment:US.BlockGroups,1,155,92.71,2153,177,1220,56.53,7.2,36.32,22.35,155,5.43413978494624,6.52979294652212,0.68885285653381,3125.48605929215,1,15,8.47020705347788,48.5766927309369,0.693166173188642,66.328279793536,85.4918032786885,02 Upper-Moderate Priority,64 - 79,0.265967574860266,8094.97173153962,13340.0274622542,7414752.71827534
920,Tanque Verde and Sabino Canyon,2,BlockApportionment:US.BlockGroups,1,355,0,2,2,2,50,50,0,0,355,5.77586206896552,4.16895929197079,0.0581151133698413,34.4144557934889,1.2,18,13.8310407080292,79.3211087262789,0.177125466043957,,0,,,0.0224383707189165,89.1330313173726,4105.95507444894,615171.386501409
921,Mountain View,3,BlockApportionment:US.BlockGroups,1,38,56.01,1507,563,1089,66.03,10.15,23.76,16.96,38,6.05349794238683,9.13152928387253,0.660653881480974,2281.07340657984,1,15,5.86847071612747,33.6557178564808,0.549217994273595,81.5156741430256,48.3011937557392,03 Low-Moderate Priority,79 - 89,0.255079889722433,5907.95300107686,10651.8752003568,7111229.45361257
922,Pima West,1,BlockApportionment:US.BlockGroups,1,209,68.18,44,39,49,54.55,29.55,15.91,8.33,209,7.01714731098987,4.21959848671325,1.15114176034531,38.2229205087662,1.2,18,13.7804015132868,79.0306926139439,0.452187915155268,,20.4081632653061,,,0.444458318515679,98.9969096471029,16395.0330652315,12390467.9946751
923,Swan Way Park,6,BlockApportionment:US.BlockGroups,1,59,46.44,1081,655,1167,67.25,15.17,17.58,10.02,59,4.77486187845304,12.7956504374676,0.649894847211189,1663.34600841776,1.2,18,5.2043495625324,29.8469787063491,0.450186524622482,86.5632923857075,43.8731790916881,03 Low-Moderate Priority,79 - 89,0.250925803366822,4308.04638461081,10580.6195202039,6995627.18108417
924,Columbus Village,6,BlockApportionment:US.BlockGroups,1,301,77.42,846,294,868,61.35,8.87,29.79,29.36,301,6.80833333333333,5.34927985377735,0.324776078207709,2604.87165393673,1,15,9.65072014622265,55.3469430222287,0.710803053282829,60.6592239099291,66.1290322580645,01 High Priority,0 - 64,0.125396744854989,6746.58661178429,7977.49968761688,3496570.04588496
925,Valle Trinidad,1,BlockApportionment:US.BlockGroups,0,223,0,0,0,0,0,0,0,0,223,6.17886178861789,8.73484492524476,0.112922409720954,0,1.2,18,9.26515507475524,,,,,,,0.0435995861466369,0,4931.51050898081,1215453.74770377
926,Reddington Hills,4,BlockApportionment:US.BlockGroups,1,327,38.86,332,256,316,62.05,18.07,19.88,11.4,327,6.25741399762752,6.32151433064708,0.776335815789989,427.649985028916,1.2,18,11.6784856693529,66.9761915312177,0.41135038906168,72.449317555764,18.9873417721519,02 Upper-Moderate Priority,64 - 79,0.299744934269078,1107.60837646706,15817.6661295885,8357110.86619595
927,Desert Anchors,2,BlockApportionment:US.BlockGroups,1,108,22.03,59,41,46,50.85,40.68,8.47,8.33,108,5.03125,14.3561441620182,0.031813707799201,1854.54648582275,1.2,18,3.6438558379818,20.8975370117774,0.278607456764084,,10.8695652173913,,,0.0122833412540997,4803.25334772475,2785.72420105417,342459.642680884
928,Goldschmidts,1,BlockApportionment:US.BlockGroups,0,214,0,0,0,0,0,0,0,0,214,5.76190476190476,6.92688327188698,0.0196084005786862,0,1.2,18,11.073116728113,,,,,,,0.00757084578996126,0,2143.88335008812,211061.73478245
929,Valencia Crossing,5,BlockApportionment:US.BlockGroups,0,308,0,0,0,0,0,0,0,0,308,7.85411140583554,1.36792291444851,1.02970117902724,0,1.2,18,16.6320770855515,,,,,,,0.397569847927463,0,16917.9328958375,11116248.8153063
