site.ID,nativeUS,totalcount,routeID,easting,northing
146_09,Native,538,146,511237,3576625
146_10,Native,486,146,512493,3576255
146_11,Native,392,146,513260,3576637
146_12,Native,450,146,513123,3577018
147_01,Native,385,147,514190,3572439
147_01a,Native,17,147,514059,3572397
147_02,Native,435,147,514736,3572409
147_03,Native,509,147,510544,3573197
147_04,Native,523,147,511159,3573970
147_05,Native,615,147,512393,3573319
147_06,Native,426,147,513126,3573951
147_07,Native,527,147,514307,3573844
147_08,Native,290,147,511742,3574521
147_09,Native,462,147,512979,3574160
147_10,Native,435,147,511186,3574940
147_10a,Native,9,147,511129,3574732
147_11,Native,478,147,512879,3575246
148_01,Native,32,148,512618,3571048
148_01a,Native,249,148,512718,3571000
148_02,Native,489,148,513656,3571353
148_03,Native,396,148,514346,3571439
148_04a,Native,343,148,515351,3571198
148_05,Native,479,148,515310,3572607
148_06,Native,12,148,515088,3573449
148_06a,Native,349,148,515099,3573396
148_07,Native,387,148,515437,3574644
148_08,Native,370,148,515995,3575593
148_09,Native,429,148,514820,3576221
148_10,Native,336,148,516202,3576066
149_01,Native,216,149,516986,3568358
149_02,Native,238,149,517970,3568420
149_02a,Native,75,149,517924,3568467
149_03,Native,279,149,518925,3568236
149_04,Native,380,149,520238,3568850
149_05,Native,126,149,519336,3569822
149_05a,Native,121,149,519181,3569788
149_06,Native,335,149,519609,3570634
149_07,Native,198,149,519889,3571600
149_07a,Native,17,149,519584,3571223
149_08,Native,173,149,519722,3572373
149_09,Native,282,149,518612,3573973
149_09a,Native,99,149,518458,3573814
149_10,Native,317,149,519411,3573250
149_11,Native,328,149,519702,3574213
149_12,Native,85,149,519785,3574572
149_12a,Native,196,149,520134,3574501
150_01,Native,320,150,509593,3563820
150_02,Native,367,150,510442,3563628
150_03,Native,282,150,510469,3564102
150_04,Native,309,150,511650,3564004
150_05,Native,182,150,510131,3565156
150_06,Native,149,150,511844,3565845
150_07,Native,394,150,512164,3565908
150_08,Native,265,150,511629,3566810
150_09,Native,270,150,512520,3566779
150_10,Native,414,150,512372,3567780
150_11,Native,329,150,513131,3568090
150_12,Native,464,150,512223,3569454
151_01,Native,520,151,515611,3569943
151_02,Native,624,151,516993,3569438
151_03,Native,268,151,517594,3569326
151_04,Native,397,151,518008,3569405
151_05,Native,395,151,517798,3570698
151_06,Native,334,151,518516,3570269
151_07,Native,413,151,517697,3571395
151_08,Native,611,151,518331,3571849
151_09,Native,268,151,517343,3572702
151_09a,Native,182,151,517357,3572644
151_10,Native,432,151,518210,3572325
151_11,Native,455,151,517112,3573878
151_12,Native,391,151,517593,3574034
152_01,Native,417,152,512009,3563836
152_02,Native,169,152,512739,3564997
152_03,Native,380,152,513742,3564483
152_04,Native,263,152,513339,3565733
152_05,Native,637,152,513911,3566073
152_06,Native,463,152,514522,3566041
152_07,Native,480,152,515392,3566608
152_08,Native,250,152,513655,3567999
152_09,Native,340,152,514695,3567377
152_10,Native,486,152,513132,3568105
153_01,Native,321,153,517945,3563320
153_02,Native,321,153,517653,3564580
153_03,Native,301,153,515969,3565867
153_04,Native,215,153,516278,3565177
153_04a,Native,11,153,516437,3565166
153_05,Native,396,153,517305,3565410
153_06,Native,220,153,516629,3566628
153_07,Native,384,153,515663,3567394
153_08,Native,402,153,516249,3567830
153_09,Native,356,153,514105,3568621
153_10,Native,512,153,515520,3568001
153_11,Native,361,153,513186,3569413
153_12,Native,363,153,514269,3569302
154_01,Native,185,154,511312,3562468
154_02,Native,228,154,512631,3562289
154_03,Native,274,154,514014,3562525
154_04,Native,221,154,511976,3563483
154_05,Native,173,154,513026,3563275
154_06,Native,221,154,514035,3563871
154_07,Native,232,154,515645,3563091
154_08,Native,161,154,516087,3563672
154_09,Native,257,154,514597,3564712
154_10,Native,222,154,515864,3564202
154_11,Native,229,154,516471,3564329
154_12,Native,276,154,514178,3565802
155_01,Native,239,155,513789,3561386
155_02,Native,210,155,514773,3561095
155_03,Native,190,155,517393,3561630
155_04,Native,177,155,518088,3561583
155_05,Native,216,155,519205,3561419
155_06,Native,165,155,520120,3561677
155_07,Native,237,155,521797,3561458
155_08,Native,259,155,522565,3561118
155_09,Native,152,155,514335,3562156
155_10,Native,240,155,515151,3562654
155_11,Native,187,155,516614,3562113
155_12,Native,176,155,517322,3562021
156_01,Native,474,156,521755,3568753
156_02,Native,581,156,520710,3569860
156_03,Native,356,156,521410,3569501
156_04,Native,354,156,520352,3570320
156_05,Native,694,156,520111,3571315
156_06,Native,407,156,521066,3571625
156_07,Native,562,156,520388,3572862
156_08,Native,378,156,521122,3572636
156_09,Native,408,156,520656,3573187
156_10,Native,465,156,521513,3573724
156_11,Native,276,156,521896,3574116
156_12,Native,168,156,522155,3574217
157_01,Native,235,157,518452,3562025
157_02,Native,211,157,518320,3563430
157_03,Native,172,157,518168,3564142
157_04,Native,266,157,518887,3564943
157_05,Native,66,157,517794,3566525
157_05a,Native,53,157,517778,3566545
157_06,Native,239,157,518990,3566255
157_07,Native,162,157,520603,3566775
157_08,Native,225,157,517389,3567477
157_09,Native,185,157,518802,3567318
157_10,Native,244,157,519883,3567481
157_11,Native,147,157,520430,3567494
157_12,Native,192,157,520569,3568528
158_01,Native,394,158,522389,3567599
158_02,Native,352,158,522009,3568246
158_03,Native,424,158,522166,3569077
158_04,Native,408,158,521252,3570866
158_05,Native,377,158,522509,3570278
158_06,Native,394,158,522412,3571239
158_07,Native,335,158,522755,3572662
158_08,Native,401,158,522455,3573179
158_09,Native,212,158,523547,3573687
158_09a,Native,134,158,523254,3573661
158_10,Native,325,158,523882,3573976
158_11,Native,202,158,524570,3574717
158_12,Native,84,158,526260,3574768
158_12a,Native,109,158,524964,3574163
159_01,Native,281,159,522658,3566426
159_02,Native,375,159,523486,3566475
159_03,Native,421,159,523897,3567796
159_04,Native,349,159,523779,3568456
159_05,Native,537,159,523387,3569583
159_06,Native,490,159,523579,3570441
159_07,Native,480,159,523130,3571220
159_08,Native,467,159,523662,3572655
159_09,Native,491,159,524194,3572114
159_10,Native,444,159,524375,3573490
159_11,Native,317,159,525284,3573548
160_01,Native,72,160,522526,3564718
160_01a,Native,333,160,522563,3564784
160_02,Native,495,160,521882,3565745
160_03,Native,431,160,522203,3565763
160_04,Native,33,160,523287,3564954
160_04a,Native,305,160,523470,3564964
160_05,Native,310,160,524542,3565023
160_06,Native,390,160,521752,3566407
160_07,Native,81,160,524672,3566531
160_07a,Native,301,160,524697,3566503
160_08,Native,532,160,525115,3567088
160_09,Native,610,160,526110,3566983
160_10,Native,82,160,527307,3566568
160_10a,Native,232,160,527355,3566306
160_11,Native,127,160,521294,3567658
160_11a,Native,249,160,521339,3567663
161_01,Native,487,161,524918,3567731
161_02,Native,449,161,525475,3567513
161_03,Native,385,161,524775,3568498
161_04,Native,501,161,525314,3568123
161_05,Native,118,161,524280,3569165
161_05a,Native,293,161,524374,3569360
161_06,Native,486,161,524647,3570420
161_07,Native,514,161,524270,3571556
161_08,Native,483,161,525756,3571388
