"Neighborhood","AreaSqMi","AreaSqKm","PctTreeCov","TreeEquity","TES","PriorityCa","SpeciesCount"
"Plaza Del Sol",0.1517257,0.3929678,9.392621,90.92715,"89 - 99","Low Priority",12
"Harold Bell Wright Estates",0.2407299,0.6234877,14.57976,91.77729,"89 - 99","Low Priority",37
"San Carlos",0.09012621,0.2334258,17.33164,98.37965,"89 - 99","Low Priority",4
"McCall Addition",0.06378075,0.1651914,9.684738,81.04561,"79 - 89","Moderate Priority",91
"Arroyo Ridge",0.2536004,0.656822,9.263101,89.95859,"89 - 99","Low Priority",18
"Brichta",0.1804882,0.4674623,11.67775,80.73048,"79 - 89","Moderate Priority",51
"Dunbar Spring",0.2412891,0.6249358,13.10584,84.39808,"79 - 89","Moderate Priority",23
"Rincon Country",0.2903892,0.7521046,4.778543,78.01026,"64 - 79","High Priority",74
"Catalina Heights",0.1960471,0.5077596,12.06199,82.8003,"79 - 89","Moderate Priority",39
"Amphi",1.001296,2.593345,8.689788,77.2548,"64 - 79","High Priority",36
"Poets Square",0.2558236,0.6625802,12.68346,89.25354,"89 - 99","Low Priority",6
"Old Spanish Trail",1.002127,2.595497,8.445725,79.29188,"79 - 89","Moderate Priority",1
"Mountain First Avenue",0.2588684,0.670466,10.73488,87.78215,"79 - 89","Moderate Priority",78
"Saguaro Hill",0.06316961,0.1636085,13.6534,88.88094,"79 - 89","Moderate Priority",54
"Casitas Del Sol",0.3579979,0.9272102,4.535518,68.33529,"64 - 79","High Priority",68
"Flowing Wells",4.24358,10.99082,5.614256,58.78045,"0 - 64","High Priority",10
"Oak Flower",0.3137422,0.8125885,12.82255,93.03924,"89 - 99","Low Priority",25
"River View Estates",0.108576,0.2812106,8.940143,86.10887,"79 - 89","Moderate Priority",85
"Starr Pass and Greasewood",0.9273994,2.401953,4.651292,59.58566,"0 - 64","High Priority",1
"Roberts",0.4232396,1.096185,9.485487,78.91719,"64 - 79","High Priority",1
"Acacia Park",0.1071138,0.2774235,13.11622,92.96652,"89 - 99","Low Priority",3
"Western States",0.02974547,0.07704042,4.034729,58.6516,"0 - 64","High Priority",4
"La Madera",0.2488881,0.6446171,16.0902,95.35491,"89 - 99","Low Priority",5
"Toumey Park",0.2737179,0.7089261,9.30349,82.86185,"79 - 89","Moderate Priority",21
"Marjack",0.06281229,0.1626831,12.35712,100,"99 - 100","Low Priority",23
"Vista Del Rio",0.08442837,0.2186685,12.1017,88.38735,"79 - 89","Moderate Priority",54
"Villa Caprice Condominiums",0.04611315,0.1194325,13.16444,100,"99 - 100","Low Priority",216
"Palo Verde",0.9902635,2.564771,13.72994,96.30993,"89 - 99","Low Priority",29
"Las Nubes",0.1049751,0.2718843,3.113924,61.92824,"0 - 64","High Priority",4
"Western Hills II",0.1803315,0.4670564,6.252538,68.73325,"64 - 79","High Priority",96
"Reddington Hills",0.2997449,0.7763358,6.321514,72.44932,"64 - 79","High Priority",3
"Old Fort Lowell",1.020084,2.642007,17.6937,99.45563,"99 - 100","Low Priority",66
"Casitas De Palo Santo",0.1233395,0.3194478,9.463383,73.16617,"64 - 79","High Priority",170
"Prince Village",0.06125002,0.1586368,14.30925,100,"99 - 100","Low Priority",65
"Barrio Santa Rosa",0.2324962,0.6021624,8.695833,70.39644,"64 - 79","High Priority",5
"Montrose Addition",0.06592703,0.1707502,12.71387,94.84084,"89 - 99","Low Priority",118
"Empire Vista",0.2547726,0.659858,3.9367,60.14873,"0 - 64","High Priority",45
"Country Glenn",0.2161619,0.5598568,14.37738,98.39224,"89 - 99","Low Priority",16
"Rose Hill",0.1329817,0.344421,12.92272,91.41872,"89 - 99","Low Priority",1
"Stella Mann",0.616756,1.597391,7.219383,77.13488,"64 - 79","High Priority",37
"Saguaro Miraflores",0.2719163,0.7042599,11.63781,86.11005,"79 - 89","Moderate Priority",63
"Kingswood",0.1246171,0.3227567,9.633148,84.62846,"79 - 89","Moderate Priority",140
"Midvale Park",3.792251,9.821885,5.962282,55.84019,"0 - 64","High Priority",19
"Pima Medical Campus",0.03188161,0.08257298,5.8814,82.62833,"79 - 89","Moderate Priority",11
"Carson Corner",1.002944,2.597614,7.65354,81.55592,"79 - 89","Moderate Priority",31
"Dietz",1.463549,3.790575,7.698312,80.73871,"79 - 89","Moderate Priority",2
"St. Cyrils",0.4362344,1.129842,12.22674,93.26555,"89 - 99","Low Priority",11
"Houghton East",2.95975,7.665717,8.848219,85.13926,"79 - 89","Moderate Priority",14
"Eastside",0.9979827,2.584763,9.557564,83.8534,"79 - 89","Moderate Priority",15
"Campbell-Grant",0.252054,0.6528169,15.42774,93.8101,"89 - 99","Low Priority",34
"Rose",0.4853912,1.257157,7.663833,66.06591,"64 - 79","High Priority",28
"Tanque Verde Bend",0.3410261,0.8832535,12.53426,89.2443,"89 - 99","Low Priority",33
"Rosemont West",0.3966729,1.027378,11.09942,81.68178,"79 - 89","Moderate Priority",16
"Las Vistas",1.074116,2.781949,6.842742,65.16418,"64 - 79","High Priority",3
"Sugar Hill",0.3152044,0.8163756,7.777343,72.40856,"64 - 79","High Priority",27
"Villa Serena",0.04127644,0.1069055,16.31463,97.64535,"89 - 99","Low Priority",37
"Warwick Village",0.08811124,0.2282071,6.881377,84.00363,"79 - 89","Moderate Priority",77
"Old Pueblo Heights",0.06962428,0.1803261,6.311573,74.5988,"64 - 79","High Priority",17
"Broadway Proper",0.09822687,0.2544064,9.90621,78.58463,"64 - 79","High Priority",29
"Colonia Solana",0.2521187,0.6529844,22.86273,100,"99 - 100","Low Priority",3
"Pima Verde East",0.06382345,0.165302,13.40926,84.476,"79 - 89","Moderate Priority",11
"Tucson Park West #1",0.1501842,0.3889754,18.36423,100,"99 - 100","Low Priority",21
"Feldman`s",0.3421914,0.8862717,13.1586,93.57212,"89 - 99","Low Priority",66
"Alvernon and 29th",0.04804081,0.1244251,2.768852,56.65315,"0 - 64","High Priority",23
"Linden Park",0.1147816,0.2972831,10.1808,86.09581,"79 - 89","Moderate Priority",63
"Desert Aire/Loma Linda",0.1834828,0.4752182,11.05262,85.07251,"79 - 89","Moderate Priority",58
"Rolling Hills",0.7923931,2.052289,8.503039,80.61588,"79 - 89","Moderate Priority",3
"Udall Park",0.09467931,0.2452183,17.08684,98.28207,"89 - 99","Low Priority",16
"Whitmore",0.03602308,0.09329934,6.6036,88.05527,"79 - 89","Moderate Priority",66
"Vista Del Norte",0.100724,0.260874,8.341329,82.16373,"79 - 89","Moderate Priority",201
"Grant and Craycroft Shopping Center",0.04545461,0.1177269,7.766413,75.15336,"64 - 79","High Priority",42
"Ironwood",0.1070864,0.2773526,9.546786,73.0017,"64 - 79","High Priority",98
"Tanque Verde Country Estates",0.2905934,0.7526334,18.99895,100,"99 - 100","Low Priority",206
"Peter Howell",0.5018011,1.299659,17.1652,98.15416,"89 - 99","Low Priority",5
"Minarik Estates",0.08180305,0.2118689,14.94151,100,"99 - 100","Low Priority",29
"Cragin",0.2506954,0.6492981,12.40053,85.64348,"79 - 89","Moderate Priority",7
"El Presidio",0.189406,0.4905592,14.16859,86.12549,"79 - 89","Moderate Priority",188
"Columbus Village",0.1253967,0.3247761,5.34928,60.65922,"0 - 64","High Priority",36
"Mountain View",0.2550799,0.6606539,9.131529,81.51567,"79 - 89","Moderate Priority",14
"Westwood Estates",0.06045804,0.1565856,11.6469,86.77303,"79 - 89","Moderate Priority",7
"Winterhaven",0.1280908,0.3317536,25.53482,100,"99 - 100","Low Priority",127
"Kendall Square",0.1511137,0.3913826,12.2701,91.62832,"89 - 99","Low Priority",44
"Rillito Bend",0.6722555,1.741134,14.03606,89.97165,"89 - 99","Low Priority",29
"Bravo Park Lane",0.5922013,1.533794,6.171207,70.64392,"64 - 79","High Priority",5
"Rancho Bueno",0.5083238,1.316553,7.505121,72.95327,"64 - 79","High Priority",2
"Julia Keen",0.896559,2.322077,8.073736,78.96735,"64 - 79","High Priority",4
"West Lamar",0.1496813,0.3876727,8.989867,69.19759,"64 - 79","High Priority",46
"Frontier West Estates",0.07157619,0.1853815,11.47672,88.92387,"79 - 89","Moderate Priority",7
"Fairhaven",0.1405856,0.3641151,6.73675,66.29471,"64 - 79","High Priority",39
"Ironwood Ridge",0.05503397,0.1425373,11.64603,80.33296,"79 - 89","Moderate Priority",7
"Centre Park",0.03830946,0.09922105,6.987928,74.48648,"64 - 79","High Priority",2
"Bronx Park",0.2675751,0.6930164,5.722729,56.10776,"0 - 64","High Priority",19
"Iron Horse",0.1050604,0.2721052,12.63649,92.74248,"89 - 99","Low Priority",21
"Sunset Villa",0.3535259,0.9156278,5.299611,51.40587,"0 - 64","High Priority",225
"Colinas De Oro",0.06134915,0.1588936,7.716417,67.89226,"64 - 79","High Priority",7
"Eastwind",0.04868646,0.1260974,13.61497,100,"99 - 100","Low Priority",2
"Saguaro Canyon",0.1251628,0.3241702,9.648539,83.43989,"79 - 89","Moderate Priority",13
"Campana de Plata",0.2008325,0.5201537,6.500344,71.42325,"64 - 79","High Priority",30
"Santa Rita Park",0.4004871,1.037257,7.015229,63.52106,"0 - 64","High Priority",13
"River Forest",0.01652541,0.04280062,29.65559,100,"99 - 100","Low Priority",12
"Mitman",0.256411,0.6641015,11.18483,82.23991,"79 - 89","Moderate Priority",6
"Westridge Estates",0.06278608,0.1626152,14.57034,93.06112,"89 - 99","Low Priority",3
"Desert Palms Park",0.09344387,0.2420185,9.083946,86.86027,"79 - 89","Moderate Priority",258
"Swan Way Park",0.2509258,0.6498948,12.79565,86.56329,"79 - 89","Moderate Priority",13
"Barrio San Antonio",0.1809037,0.4685385,8.334826,75.85895,"64 - 79","High Priority",34
"Campus Farm",1.117028,2.893088,11.4613,88.76086,"79 - 89","Moderate Priority",55
"Balboa Heights",0.1803071,0.4669931,9.676516,80.78016,"79 - 89","Moderate Priority",97
"Limberlost",0.5016132,1.299172,10.49132,85.63911,"79 - 89","Moderate Priority",8
"Lakeside Park",0.9201263,2.383116,7.827803,80.87367,"79 - 89","Moderate Priority",51
"West Branch Santa Cruz",0.1681448,0.4354931,6.944715,81.93008,"79 - 89","Moderate Priority",57
"Casa Real",0.07837875,0.203,12.07448,85.14427,"79 - 89","Moderate Priority",1
"Southland Park",0.2659676,0.6888529,6.529793,66.32828,"64 - 79","High Priority",142
"Pantano Overlook",0.1600265,0.4144666,5.737477,69.78217,"64 - 79","High Priority",12
"Palo Verde Park",0.9983298,2.585662,9.300181,78.52831,"64 - 79","High Priority",25
"Haven Ridge",0.1957404,0.5069652,11.35905,97.98285,"89 - 99","Low Priority",14
"Rincon Aviador",0.03876486,0.1004005,8.70499,78.97249,"64 - 79","High Priority",2
"Kino Gateway",1.293815,3.350965,3.66294,52.8071,"0 - 64","High Priority",20
"San Ignacio Yaqui",0.2346931,0.6078524,4.666926,50.25357,"0 - 64","High Priority",12
"Pantano Parkview",0.1241618,0.3215776,8.125121,75.475,"64 - 79","High Priority",25
"Westside Development",2.431945,6.298708,6.459636,67.28447,"64 - 79","High Priority",14
"Eastern Hills",0.2511969,0.650597,6.662903,82.31432,"79 - 89","Moderate Priority",21
"The Enclave",0.04573081,0.1184423,12.2801,89.33804,"89 - 99","Low Priority",21
"Tucson Mall",0.1971445,0.5106019,5.978535,56.51326,"0 - 64","High Priority",45
"Heromsa Highlands",0.3765524,0.9752663,7.920595,82.66209,"79 - 89","Moderate Priority",10
"El Montevideo",0.1299797,0.3366459,19.29319,100,"99 - 100","Low Priority",21
"Kleindale",0.1861761,0.4821938,13.48782,95.47751,"89 - 99","Low Priority",75
"Northmall Centre",0.1804506,0.4673649,9.329757,76.66771,"64 - 79","High Priority",42
"Loma Verde",0.107786,0.2791644,11.34156,82.86428,"79 - 89","Moderate Priority",18
"National City Southwest",0.2591397,0.6711689,7.345008,72.38343,"64 - 79","High Priority",37
"Rancho Esperero",0.1027111,0.2660204,13.96896,94.26179,"89 - 99","Low Priority",35
