"","siteID","n","routeID","easting","northing"
"640","154_01",18,154,511312,3562468
"641","154_02",20,154,512631,3562289
"642","154_03",22,154,514014,3562525
"643","154_04",17,154,511976,3563483
"644","154_05",20,154,513026,3563275
"645","154_06",20,154,514035,3563871
"646","154_07",18,154,515645,3563091
"647","154_08",23,154,516087,3563672
"648","154_09",19,154,514597,3564712
"649","154_10",18,154,515864,3564202
"650","154_11",23,154,516471,3564329
"651","154_12",23,154,514178,3565802
"652","155_01",17,155,513789,3561386
"653","155_02",18,155,514773,3561095
"654","155_03",28,155,517393,3561630
"655","155_04",19,155,518088,3561583
"656","155_05",16,155,519205,3561419
"657","155_06",21,155,520120,3561677
"658","155_07",23,155,521797,3561458
"659","155_08",25,155,522565,3561118
"660","155_09",15,155,514335,3562156
"661","155_10",20,155,515151,3562654
"662","155_11",21,155,516614,3562113
"663","155_12",18,155,517322,3562021
"664","156_01",21,156,521755,3568753
"665","156_02",23,156,520710,3569860
"666","156_03",20,156,521410,3569501
"667","156_04",22,156,520352,3570320
"668","156_05",30,156,520111,3571315
"669","156_06",28,156,521066,3571625
"670","156_07",24,156,520388,3572862
"671","156_08",20,156,521122,3572636
"672","156_09",25,156,520656,3573187
"673","156_10",22,156,521513,3573724
"674","156_11",23,156,521896,3574116
"675","156_12",18,156,522155,3574217
"676","157_01",23,157,518452,3562025
"677","157_02",20,157,518320,3563430
"678","157_03",16,157,518168,3564142
"679","157_04",21,157,518887,3564943
"680","157_05",11,157,517794,3566525
"681","157_05a",11,157,517778,3566545
"682","157_06",19,157,518990,3566255
"683","157_07",20,157,520603,3566775
"684","157_08",22,157,517389,3567477
"685","157_09",18,157,518802,3567318
"686","157_10",29,157,519883,3567481
"687","157_11",30,157,520430,3567494
"688","157_12",24,157,520569,3568528
"689","158_01",41,158,522389,3567599
"690","158_02",48,158,522009,3568246
"691","158_03",36,158,522166,3569077
"692","158_04",36,158,521252,3570866
"693","158_05",34,158,522509,3570278
"694","158_06",38,158,522412,3571239
"695","158_07",32,158,522755,3572662
"696","158_08",32,158,522455,3573179
"697","158_09",23,158,523547,3573687
"698","158_09a",18,158,523254,3573661
"699","158_10",35,158,523882,3573976
"700","158_11",36,158,524570,3574717
"701","158_12",23,158,526260,3574768
"702","158_12a",21,158,524964,3574163
"703","159_01",27,159,522658,3566426
"704","159_02",26,159,523486,3566475
"705","159_03",31,159,523897,3567796
"706","159_04",18,159,523779,3568456
"707","159_05",28,159,523387,3569583
"708","159_06",29,159,523579,3570441
