"","siteID","native.US","totalcount","routeID","easting","northing"
"368","116_04","Non-native",12,116,492512,3577137
"369","116_05","Non-native",65,116,493983,3577288
"370","116_05","Native",235,116,493983,3577288
"371","116_05a","Native",22,116,493734,3577248
"372","116_06","Native",256,116,494852,3577679
"373","116_06","Non-native",37,116,494852,3577679
"374","116_07","Native",316,116,495917,3577458
"375","116_07","Non-native",110,116,495917,3577458
"376","116_08","Native",290,116,496918,3577095
"377","116_08","Non-native",144,116,496918,3577095
"378","116_09","Native",435,116,497611,3577477
"379","116_09","Non-native",61,116,497611,3577477
"380","116_10","Native",437,116,498537,3577425
"381","116_10","Non-native",107,116,498537,3577425
"382","116_11","Non-native",20,116,497223,3578357
"383","116_11","Native",334,116,497223,3578357
"384","116_11a","Native",14,116,497556,3578446
"385","116_11a","Non-native",2,116,497556,3578446
"386","116_12","Native",227,116,498674,3578241
"387","116_12","Non-native",157,116,498674,3578241
"388","117_01","Native",216,117,497073,3572902
"389","117_01","Non-native",47,117,497073,3572902
"390","117_02","Native",343,117,496495,3573444
"391","117_02","Non-native",25,117,496495,3573444
"392","117_03","Native",241,117,497661,3573864
"393","117_03","Non-native",211,117,497661,3573864
"394","117_04","Native",285,117,495974,3574638
"395","117_04","Non-native",45,117,495974,3574638
"396","117_05","Non-native",127,117,497943,3574505
"397","117_05","Native",288,117,497943,3574505
"398","117_06","Native",276,117,496108,3575343
"399","117_06","Non-native",37,117,496108,3575343
"400","117_07","Non-native",200,117,496898,3575240
"401","117_07","Native",299,117,496898,3575240
"402","117_08","Native",249,117,497302,3576139
"403","117_08","Non-native",83,117,497302,3576139
"404","117_09","Non-native",48,117,495191,3576019
"405","117_09","Native",276,117,495191,3576019
"406","117_10","Native",462,117,495801,3576737
"407","117_10","Non-native",158,117,495801,3576737
"408","117_11","Non-native",70,117,496393,3576834
"409","117_11","Native",337,117,496393,3576834
"410","117_12","Native",251,117,497580,3576211
"411","117_12","Non-native",30,117,497580,3576211
"412","118_01","Native",235,118,489759,3575567
"413","118_02","Native",201,118,490743,3575450
"414","118_03","Native",216,118,487225,3576673
"415","118_04","Native",162,118,488214,3576203
"416","118_04a","Native",7,118,488151,3576111
"417","118_05","Non-native",11,118,489756,3576265
"418","118_05","Native",283,118,489756,3576265
"419","118_06","Native",227,118,490636,3576135
"420","118_06","Non-native",2,118,490636,3576135
"421","118_07","Non-native",1,118,487135,3577913
"422","118_07","Native",196,118,487135,3577913
"423","118_08","Non-native",5,118,488786,3577571
"424","118_08","Native",235,118,488786,3577571
"425","118_08a","Native",37,118,488810,3577207
"426","118_08a","Non-native",1,118,488810,3577207
"427","118_09","Non-native",16,118,490049,3577015
"428","118_09","Native",208,118,490049,3577015
"429","118_10","Native",262,118,490394,3577135
"430","118_10","Non-native",9,118,490394,3577135
"431","119_01","Non-native",5,119,491669,3573065
"432","119_01","Native",320,119,491669,3573065
"433","119_02","Native",259,119,492346,3573732
"434","119_02","Non-native",8,119,492346,3573732
"435","119_03","Non-native",4,119,491743,3574523
"436","119_03","Native",310,119,491743,3574523
"437","119_04","Native",324,119,492455,3574123
"438","119_04","Non-native",37,119,492455,3574123
"439","119_05","Native",218,119,493360,3574818
"440","119_05","Non-native",3,119,493360,3574818
"441","119_06","Native",201,119,494113,3574002
"442","119_07","Native",255,119,495172,3574386
"443","119_08","Native",177,119,492105,3575049
"444","119_09","Non-native",12,119,493141,3575468
"445","119_09","Native",293,119,493141,3575468
"446","119_10","Native",198,119,493949,3575832
"447","119_10","Non-native",3,119,493949,3575832
"448","119_11","Non-native",9,119,492085,3576860
"449","119_11","Native",304,119,492085,3576860
"450","119_12","Native",292,119,493695,3576375
"451","120_01","Native",158,120,490910,3572512
"452","120_01","Non-native",2,120,490910,3572512
"453","120_02","Native",231,120,491698,3572644
"454","120_03","Native",231,120,492359,3572001
"455","120_03","Non-native",36,120,492359,3572001
"456","120_04","Native",240,120,493161,3572467
"457","120_04","Non-native",16,120,493161,3572467
"458","120_05","Native",266,120,490736,3573680
"459","120_05","Non-native",2,120,490736,3573680
"460","120_06","Native",242,120,493439,3573279
"461","120_06","Non-native",12,120,493439,3573279
"462","120_07","Native",165,120,488695,3574858
"463","120_08","Non-native",1,120,489788,3574257
"464","120_08","Native",200,120,489788,3574257
"465","120_09","Native",127,120,490033,3574797
"466","120_10","Native",119,120,488906,3575164
"467","121_01","Native",275,121,488615,3572434
"468","121_01","Non-native",20,121,488615,3572434
"469","121_02","Native",164,121,489680,3571807
"470","121_03","Native",192,121,490269,3572303
"471","121_03","Non-native",16,121,490269,3572303
"472","121_04","Native",246,121,491692,3571654
"473","121_04","Non-native",5,121,491692,3571654
"474","121_05","Native",335,121,492249,3571974
"475","121_05","Non-native",12,121,492249,3571974
"476","121_07","Native",259,121,489333,3572433
"477","121_07","Non-native",4,121,489333,3572433
"478","121_09","Non-native",3,121,489634,3573862
"479","121_09","Native",307,121,489634,3573862
"480","122_01","Native",89,122,490122,3569035
"481","122_01a","Native",189,122,490200,3568866
"482","122_02","Non-native",2,122,492298,3569021
"483","122_02","Native",135,122,492298,3569021
"484","122_02a","Native",56,122,491505,3568544
"485","122_03","Native",98,122,489042,3569985
"486","122_03a","Native",62,122,488721,3569567
"487","122_04","Native",249,122,489513,3569382
"488","122_04","Non-native",1,122,489513,3569382
"489","122_05","Native",304,122,490166,3569638
"490","122_05","Non-native",2,122,490166,3569638
"491","122_06","Native",270,122,491083,3569816
"492","122_06a","Native",67,122,491593,3569785
"493","122_07","Native",85,122,489454,3571511
"494","122_07a","Native",84,122,488832,3570738
"495","122_07a","Non-native",2,122,488832,3570738
"496","122_07b","Native",46,122,488653,3571137
"497","122_08","Native",64,122,489540,3570574
"498","122_08a","Native",201,122,489030,3570680
"499","122_08a","Non-native",2,122,489030,3570680
"500","122_09","Native",314,122,490899,3570389
"501","122_12","Native",45,122,492268,3571384
"502","123_01","Native",335,123,492868,3569894
"503","123_01","Non-native",5,123,492868,3569894
"504","123_03","Non-native",6,123,492472,3570675
"505","123_03","Native",293,123,492472,3570675
"506","123_04","Native",335,123,494043,3571059
"507","123_04","Non-native",15,123,494043,3571059
"508","123_05","Native",329,123,494359,3570174
"509","123_05","Non-native",9,123,494359,3570174
"510","123_06","Native",360,123,493853,3571594
"511","123_06","Non-native",82,123,493853,3571594
"512","123_07","Native",418,123,494923,3571915
"513","123_07","Non-native",68,123,494923,3571915
"514","123_08","Native",459,123,494536,3572435
"515","123_08","Non-native",29,123,494536,3572435
"516","123_09","Native",307,123,494727,3573251
"517","123_09","Non-native",13,123,494727,3573251
"518","124_01","Native",217,124,492793,3568648
"519","124_02","Native",182,124,493081,3568463
"520","124_02","Non-native",10,124,493081,3568463
"521","124_03","Native",269,124,494046,3568221
"522","124_03","Non-native",7,124,494046,3568221
"523","124_04","Native",262,124,493490,3569331
"524","124_04","Non-native",3,124,493490,3569331
"525","124_05","Native",240,124,494492,3569743
"526","124_05","Non-native",4,124,494492,3569743
"527","124_06","Native",269,124,495899,3569872
"528","124_06","Non-native",55,124,495899,3569872
"529","124_07","Native",252,124,495787,3570847
"530","124_07","Non-native",56,124,495787,3570847
"531","124_08","Non-native",6,124,496260,3570865
"532","124_08","Native",267,124,496260,3570865
"533","124_09","Native",174,124,497373,3570752
"534","124_09","Non-native",33,124,497373,3570752
"535","124_10","Non-native",17,124,495611,3571200
"536","124_10","Native",247,124,495611,3571200
"537","125_01","Native",349,125,493547,3563206
"538","125_01a","Native",23,125,495371,3563787
"539","125_01a","Non-native",1,125,495371,3563787
"540","125_02","Native",393,125,495687,3564152
"541","125_02","Non-native",7,125,495687,3564152
"542","125_02a","Native",28,125,495730,3564327
"543","125_03","Non-native",4,125,497061,3564744
"544","125_03","Native",91,125,497061,3564744
"545","125_03a","Non-native",78,125,496998,3564771
"546","125_03a","Native",421,125,496998,3564771
"547","125_04","Native",60,125,496109,3565766
"548","125_04a","Native",24,125,495716,3565727
"549","125_04b","Non-native",1,125,496105,3565827
"550","125_04b","Native",183,125,496105,3565827
"551","125_05","Native",339,125,496536,3565502
"552","125_05","Non-native",2,125,496536,3565502
"553","125_06","Non-native",7,125,492365,3567313
"554","125_06","Native",335,125,492365,3567313
"555","125_07","Native",309,125,494080,3565986
"556","125_07a","Native",33,125,494382,3566070
"557","125_08","Non-native",2,125,495741,3566345
"558","125_08","Native",182,125,495741,3566345
"559","125_09","Native",338,125,492570,3567733
"560","125_09","Non-native",15,125,492570,3567733
"561","125_10","Native",211,125,493456,3567334
"562","125_10","Non-native",17,125,493456,3567334
"563","125_10a","Native",97,125,493243,3567024
"564","125_10a","Non-native",1,125,493243,3567024
"565","125_11","Native",321,125,494540,3567511
"566","125_11","Non-native",1,125,494540,3567511
"567","125_11a","Native",25,125,494754,3567316
"568","126_01a","Native",20,126,493088,3563288
"569","126_02","Native",153,126,494070,3563500
"570","126_02a","Native",12,126,494274,3563696
"571","126_03","Native",170,126,491998,3565052
"572","126_04","Native",190,126,493187,3564435
"573","126_04a","Native",14,126,493034,3564930
"574","126_05","Native",152,126,493924,3564842
"575","126_05a","Native",28,126,494565,3564301
"576","126_06","Native",194,126,491860,3565490
"577","126_07","Native",223,126,493158,3565883
"578","126_07","Non-native",7,126,493158,3565883
"579","126_07a","Native",23,126,493158,3565400
"580","126_08","Native",157,126,494321,3565886
"581","126_08a","Native",14,126,494470,3565988
"582","126_09","Native",146,126,493758,3567267
"583","126_09","Non-native",3,126,493758,3567267
"584","127_02","Non-native",1,127,494755,3562171
"585","127_02","Native",339,127,494755,3562171
"586","127_03","Non-native",2,127,493258,3560916
"587","127_03","Native",229,127,493258,3560916
"588","127_04a","Native",31,127,495956,3561831
"589","127_07","Native",402,127,492177,3562274
"590","127_07","Non-native",23,127,492177,3562274
"591","127_08","Native",184,127,493606,3562707
"592","127_08","Non-native",2,127,493606,3562707
"593","127_09","Native",185,127,494013,3562508
"594","128_01","Non-native",12,128,495804,3562827
"595","128_01","Native",405,128,495804,3562827
"596","128_02","Native",352,128,496684,3562118
"597","128_02","Non-native",1,128,496684,3562118
"598","128_03","Non-native",49,128,497956,3562049
"599","128_03","Native",423,128,497956,3562049
"600","128_04","Native",423,128,498376,3562814
"601","128_04","Non-native",71,128,498376,3562814
"602","128_05","Native",304,128,499015,3562041
"603","128_05","Non-native",53,128,499015,3562041
"604","128_06","Native",276,128,500078,3562269
"605","128_06","Non-native",204,128,500078,3562269
"606","128_07","Native",300,128,501260,3562310
"607","128_07","Non-native",125,128,501260,3562310
"608","128_08","Native",285,128,502679,3562797
"609","128_08","Non-native",247,128,502679,3562797
"610","128_09","Native",454,128,496933,3563660
"611","128_09","Non-native",92,128,496933,3563660
"612","128_10","Non-native",101,128,497425,3563453
"613","128_10","Native",374,128,497425,3563453
"614","129_01","Native",310,129,497519,3567554
"615","129_01","Non-native",100,129,497519,3567554
"616","129_02","Non-native",112,129,498135,3567103
"617","129_02","Native",314,129,498135,3567103
"618","129_03","Native",436,129,497592,3568677
"619","129_03","Non-native",29,129,497592,3568677
"620","129_04","Non-native",71,129,498992,3568119
"621","129_04","Native",270,129,498992,3568119
"622","129_05","Native",181,129,499677,3568066
"623","129_05","Non-native",119,129,499677,3568066
"624","129_06","Non-native",82,129,499952,3568711
"625","129_06","Native",232,129,499952,3568711
"626","129_07","Non-native",627,129,499642,3569196
"627","129_07","Native",405,129,499642,3569196
"628","129_08","Native",222,129,500938,3569076
"629","129_08","Non-native",108,129,500938,3569076
"630","129_09","Non-native",400,129,500262,3571022
